timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
259404,-100000,-7812,-781,2062,-49,25,-36
259407,-100000,-7812,-781,2052,-49,25,-36
259409,-100000,-7812,-781,2061,-49,25,-36
259411,-100000,-7812,-781,2051,-49,25,-36
259412,-99218,-8593,-781,2061,-49,25,-36
259414,-99218,-8593,-781,2061,-49,26,-36
259416,-99218,-8593,-781,2066,-49,26,-36
259418,-99218,-8593,-781,2057,-49,26,-36
259420,-99218,-8593,-781,2054,-49,25,-36
259422,-100000,-7812,-781,2052,-49,26,-36
259424,-100000,-7812,-781,2069,-49,26,-36
259426,-100000,-7812,-781,2063,-49,26,-36
259428,-100000,-7812,-781,2066,-49,26,-36
259430,-100000,-7812,-781,2051,-49,26,-36
259432,-100000,-7031,-1562,2061,-49,26,-36
259434,-100000,-7031,-1562,2056,-49,26,-36
259436,-100000,-7031,-1562,2057,-49,26,-36
259438,-100000,-7031,-1562,2062,-50,26,-36
259440,-100000,-7031,-1562,2053,-50,26,-36
259442,-100000,-7812,-2343,2061,-50,26,-36
259444,-100000,-7812,-2343,2059,-50,27,-36
259446,-100000,-7812,-2343,2054,-50,27,-36
259448,-100000,-7812,-2343,2061,-50,27,-37
259450,-100000,-7812,-2343,2063,-50,27,-37
259452,-100000,-7031,-781,2061,-50,27,-37
259454,-100000,-7031,-781,2053,-50,26,-37
259456,-100000,-7031,-781,2069,-50,26,-37
259458,-100000,-7031,-781,2067,-50,26,-37
259460,-100000,-7031,-781,2062,-50,27,-37
259462,-99218,-7031,-1562,2061,-50,27,-37
259464,-99218,-7031,-1562,2068,-50,27,-37
259466,-99218,-7031,-1562,2052,-50,27,-37
259468,-99218,-7031,-1562,2054,-50,27,-37
259470,-99218,-7031,-1562,2069,-50,27,-37
259472,-99218,-7031,-1562,2068,-50,27,-37
259474,-100000,-7812,-781,2061,-50,27,-37
259476,-100000,-7812,-781,2053,-50,27,-37
259479,-100000,-7812,-781,2061,-50,27,-37
