timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
289414,-92968,-7031,3906,2063,-34,28,-14
425103,-99218,-6250,-1562,2066,-25,45,-36
425105,-99218,-6250,-1562,2057,-25,45,-36
425107,-99218,-6250,-1562,2059,-25,45,-36
425109,-99218,-6250,-1562,2058,-25,45,-36
425111,-100000,-6250,-781,2053,-25,45,-36
425113,-100000,-6250,-781,2059,-25,45,-36
425115,-100000,-6250,-781,2057,-25,46,-36
425117,-100000,-6250,-781,2063,-25,45,-35
425119,-100000,-6250,-781,2059,-25,45,-35
425121,-99218,-7031,-781,2046,-25,45,-35
425123,-99218,-7031,-781,2057,-25,45,-35
425125,-99218,-7031,-781,2046,-25,45,-36
425127,-99218,-7031,-781,2054,-25,45,-36
425129,-99218,-7031,-781,2048,-25,45,-36
425131,-100000,-6250,-1562,2057,-25,45,-36
425133,-100000,-6250,-1562,2049,-25,46,-36
425135,-100000,-6250,-1562,2063,-25,46,-35
425137,-100000,-6250,-1562,2043,-25,46,-35
425139,-100000,-6250,-1562,2049,-25,46,-35
425141,-100000,-6250,0,2051,-25,46,-35
425143,-100000,-6250,0,2047,-25,46,-35
425145,-100000,-6250,0,2053,-25,46,-35
425147,-100000,-6250,0,2042,-25,46,-35
425149,-100000,-6250,0,2048,-25,46,-35
425151,-100000,-5468,-2343,2054,-25,47,-35
425153,-100000,-5468,-2343,2049,-25,46,-35
425155,-100000,-5468,-2343,2061,-25,47,-35
425157,-100000,-5468,-2343,2051,-25,47,-35
425159,-100000,-5468,-2343,2056,-26,47,-36
425161,-100000,-6250,-2343,2054,-26,47,-36
425164,-100000,-6250,-2343,2048,-26,47,-36
425165,-100000,-6250,-2343,2058,-26,47,-36
425167,-100000,-6250,-2343,2054,-26,48,-36
425169,-100000,-6250,-2343,2054,-26,48,-36
425171,-100781,-6250,-3125,2051,-26,48,-36
425173,-100781,-6250,-3125,2049,-26,48,-36
425175,-100781,-6250,-3125,2058,-26,48,-36
425177,-100781,-6250,-3125,2047,-26,48,-36
425179,-100781,-6250,-3125,2058,-27,48,-36
425181,-100000,-5468,-1562,2048,-27,48,-36
425183,-100000,-5468,-1562,2049,-27,48,-36
425185,-100000,-5468,-1562,2051,-27,48,-36
425187,-100000,-5468,-1562,2046,-27,48,-36
425189,-100000,-5468,-1562,2051,-27,48,-36
425191,-100781,-4687,-3125,2056,-27,49,-36
425193,-100781,-4687,-3125,2047,-28,49,-36
425195,-100781,-4687,-3125,2052,-28,49,-36
425197,-100781,-4687,-3125,2051,-28,49,-36
425199,-100781,-4687,-3125,2046,-28,49,-36
425201,-100781,-4687,-3125,2054,-28,49,-36
425203,-100781,-4687,-3125,2063,-28,49,-36
425205,-100781,-4687,-3125,2054,-28,49,-36
425207,-100781,-4687,-3125,2051,-28,49,-36
425209,-100781,-4687,-3125,2048,-28,49,-36
425211,-100781,-5468,-2343,2058,-28,49,-36
425213,-100781,-5468,-2343,2052,-29,49,-36
425215,-100781,-5468,-2343,2052,-29,49,-36
425217,-100781,-5468,-2343,2058,-29,49,-36
425219,-100781,-5468,-2343,2049,-29,49,-36
425221,-100781,-6250,-3125,2051,-29,49,-36
425223,-100781,-6250,-3125,2056,-29,48,-36
425225,-100781,-6250,-3125,2043,-29,48,-36
425227,-100781,-6250,-3125,2052,-30,48,-36
425230,-100781,-6250,-3125,2051,-30,48,-36
425231,-100781,-6250,-2343,2053,-30,48,-36
425233,-100781,-6250,-2343,2061,-30,48,-36
425235,-100781,-6250,-2343,2067,-30,48,-36
425237,-100781,-6250,-2343,2056,-30,48,-36
425239,-100781,-6250,-2343,2058,-30,48,-36
425241,-100781,-6250,-2343,2063,-30,48,-36
425243,-100781,-6250,-2343,2041,-31,48,-36
425245,-100781,-6250,-2343,2059,-31,48,-36
425247,-100781,-6250,-2343,2049,-31,48,-36
425249,-100781,-6250,-2343,2051,-31,48,-36
425251,-101562,-5468,-3125,2053,-31,48,-36
425253,-101562,-5468,-3125,2056,-32,48,-35
425255,-101562,-5468,-3125,2056,-32,48,-35
425257,-101562,-5468,-3125,2051,-32,48,-35
425259,-101562,-5468,-3125,2053,-32,48,-35
425261,-101562,-4687,-3125,2056,-32,48,-35
425263,-101562,-4687,-3125,2043,-33,48,-35
425265,-101562,-4687,-3125,2048,-33,48,-35
425267,-101562,-4687,-3125,2051,-33,48,-35
425269,-101562,-4687,-3125,2061,-33,48,-35
425271,-101562,-5468,-2343,2052,-33,48,-34
425273,-101562,-5468,-2343,2061,-33,48,-34
425275,-101562,-5468,-2343,2051,-33,48,-34
425277,-101562,-5468,-2343,2049,-34,48,-34
425279,-101562,-5468,-2343,2045,-34,49,-34
425281,-101562,-5468,-2343,2052,-34,49,-34
425283,-101562,-5468,-2343,2051,-34,49,-34
425285,-101562,-5468,-2343,2043,-34,49,-34
425287,-101562,-5468,-2343,2051,-34,49,-34
425290,-101562,-5468,-2343,2054,-34,49,-34
425291,-101562,-5468,-2343,2056,-35,49,-34
425293,-101562,-5468,-3125,2056,-35,50,-34
425295,-101562,-5468,-3125,2052,-35,50,-34
425297,-101562,-5468,-3125,2051,-35,50,-34
425299,-101562,-5468,-3125,2057,-35,50,-34
425301,-101562,-5468,-3125,2043,-36,50,-34
425303,-101562,-6250,-1562,2046,-36,50,-34
425305,-101562,-6250,-1562,2046,-36,50,-34
425307,-101562,-6250,-1562,2047,-37,50,-35
425309,-101562,-6250,-1562,2063,-37,50,-35
425311,-101562,-6250,-1562,2042,-37,51,-34
425313,-101562,-6250,-1562,2047,-37,51,-34
425315,-101562,-6250,-1562,2057,-37,51,-34
425317,-101562,-6250,-1562,2047,-38,51,-34
425319,-101562,-6250,-1562,2053,-38,51,-34
425321,-101562,-6250,-1562,2057,-38,51,-34
425323,-100781,-4687,-1562,2051,-38,51,-34
425325,-100781,-4687,-1562,2051,-38,51,-34
425327,-100781,-4687,-1562,2054,-38,50,-34
425329,-100781,-4687,-1562,2048,-38,50,-34
425331,-100781,-4687,-1562,2051,-38,50,-34
425333,-100781,-5468,-2343,2046,-39,50,-34
425335,-100781,-5468,-2343,2052,-39,50,-34
425337,-100781,-5468,-2343,2056,-39,50,-34
425339,-100781,-5468,-2343,2048,-39,50,-34
425341,-100781,-5468,-2343,2051,-39,50,-34
425343,-101562,-5468,-2343,2053,-39,50,-34
425345,-101562,-5468,-2343,2049,-39,50,-34
425347,-101562,-5468,-2343,2051,-39,50,-34
425349,-101562,-5468,-2343,2048,-39,50,-34
425351,-101562,-5468,-2343,2049,-39,50,-34
425353,-101562,-5468,-3125,2045,-40,50,-34
425355,-101562,-5468,-3125,2047,-40,50,-33
425357,-101562,-5468,-3125,2058,-40,49,-33
425359,-101562,-5468,-3125,2053,-40,49,-34
425361,-101562,-5468,-3125,2049,-40,49,-34
425369,-101562,-5468,-3906,2056,-41,49,-33
425371,-101562,-5468,-3906,2057,-41,49,-33
425373,-102343,-5468,-3125,2061,-41,49,-33
425374,-102343,-5468,-3125,2047,-42,49,-33
425375,-102343,-5468,-3125,2064,-42,49,-33
425377,-102343,-5468,-3125,2042,-42,49,-33
425379,-102343,-5468,-3125,2057,-42,49,-34
425380,-102343,-5468,-3125,2051,-42,49,-34
425382,-102343,-5468,-3125,2053,-42,49,-34
425383,-102343,-6250,-3125,2046,-42,49,-34
425385,-102343,-6250,-3125,2051,-42,49,-34
425386,-102343,-6250,-3125,2042,-42,49,-34
425388,-102343,-6250,-3125,2053,-42,49,-34
425389,-102343,-6250,-3125,2068,-42,49,-34
425391,-102343,-6250,-3125,2048,-43,49,-33
425393,-101562,-4687,-1562,2056,-43,49,-33
425395,-101562,-4687,-1562,2051,-43,49,-33
425397,-101562,-4687,-1562,2048,-43,49,-33
425399,-101562,-4687,-1562,2056,-43,49,-33
425401,-101562,-4687,-1562,2053,-44,49,-33
425403,-101562,-5468,-2343,2061,-44,49,-33
425405,-101562,-5468,-2343,2048,-44,49,-33
425407,-101562,-5468,-2343,2064,-44,49,-33
425409,-101562,-5468,-2343,2061,-44,49,-33
425411,-101562,-5468,-2343,2056,-44,50,-33
425413,-102343,-5468,-2343,2048,-44,50,-33
425415,-102343,-5468,-2343,2059,-45,50,-32
425417,-102343,-5468,-2343,2046,-45,50,-32
425419,-102343,-5468,-2343,2061,-45,50,-32
425421,-102343,-5468,-2343,2053,-45,50,-32
425423,-102343,-5468,-3125,2051,-45,50,-32
425425,-102343,-5468,-3125,2046,-46,50,-32
425427,-102343,-5468,-3125,2047,-46,50,-32
425429,-102343,-5468,-3125,2049,-46,50,-32
425431,-102343,-5468,-3125,2047,-46,50,-32
425433,-100781,-6250,-1562,2059,-46,50,-32
425435,-100781,-6250,-1562,2059,-47,50,-32
425437,-100781,-6250,-1562,2061,-47,50,-32
425439,-100781,-6250,-1562,2052,-47,50,-33
425441,-100781,-6250,-1562,2049,-47,50,-33
425443,-101562,-5468,-1562,2051,-48,50,-32
425445,-101562,-5468,-1562,2062,-48,50,-32
425447,-101562,-5468,-1562,2045,-48,50,-32
425449,-101562,-5468,-1562,2046,-48,49,-32
425451,-101562,-5468,-1562,2041,-48,49,-32
425453,-101562,-4687,-3125,2056,-48,49,-32
425455,-101562,-4687,-3125,2052,-48,49,-32
425457,-101562,-4687,-3125,2056,-48,49,-32
425459,-101562,-4687,-3125,2053,-48,49,-32
425461,-101562,-4687,-3125,2061,-48,49,-32
425463,-101562,-4687,-3125,2056,-48,49,-31
425465,-101562,-3906,-781,2058,-49,49,-31
425467,-101562,-3906,-781,2049,-49,49,-31
425469,-101562,-3906,-781,2061,-49,49,-31
425471,-101562,-3906,-781,2051,-49,49,-31
425473,-101562,-3906,-781,2051,-49,49,-31
425475,-102343,-4687,-2343,2042,-49,49,-31
425477,-102343,-4687,-2343,2053,-49,49,-31
425479,-102343,-4687,-2343,2048,-49,49,-31
425481,-102343,-4687,-2343,2061,-50,49,-31
425483,-102343,-4687,-2343,2051,-50,49,-31
425485,-101562,-5468,-1562,2051,-50,49,-31
425487,-101562,-5468,-1562,2047,-50,49,-31
425489,-101562,-5468,-1562,2049,-50,48,-31
425491,-101562,-5468,-1562,2052,-50,48,-31
425493,-101562,-5468,-1562,2054,-50,48,-31
425495,-102343,-5468,-2343,2062,-50,48,-31
425497,-102343,-5468,-2343,2051,-50,48,-31
425499,-102343,-5468,-2343,2053,-50,48,-31
425501,-102343,-5468,-2343,2048,-51,48,-31
425503,-102343,-5468,-2343,2051,-51,48,-31
425505,-100781,-6250,-781,2051,-51,48,-31
425507,-100781,-6250,-781,2053,-51,48,-31
425509,-100781,-6250,-781,2047,-51,48,-31
425511,-100781,-6250,-781,2047,-51,48,-31
425513,-100781,-6250,-781,2059,-52,48,-31
425515,-102343,-5468,-1562,2051,-52,48,-31
425517,-102343,-5468,-1562,2056,-52,48,-31
425519,-102343,-5468,-1562,2048,-52,48,-31
425521,-102343,-5468,-1562,2045,-52,48,-31
425523,-102343,-5468,-1562,2045,-52,48,-31
425525,-101562,-4687,-2343,2054,-52,48,-31
425527,-101562,-4687,-2343,2057,-52,49,-31
425529,-101562,-4687,-2343,2047,-53,49,-31
425531,-101562,-4687,-2343,2056,-53,49,-31
425533,-101562,-4687,-2343,2058,-53,49,-31
425535,-101562,-5468,-3125,2052,-53,49,-31
425537,-101562,-5468,-3125,2046,-53,49,-31
425539,-101562,-5468,-3125,2059,-53,48,-31
425541,-101562,-5468,-3125,2045,-53,48,-31
425543,-101562,-5468,-3125,2046,-53,48,-31
425545,-101562,-4687,-2343,2052,-53,48,-31
425547,-101562,-4687,-2343,2056,-53,48,-31
425549,-101562,-4687,-2343,2056,-53,48,-31
425551,-101562,-4687,-2343,2052,-53,48,-31
425553,-101562,-4687,-2343,2058,-53,48,-31
425555,-100781,-5468,-1562,2052,-53,48,-31
425557,-100781,-5468,-1562,2048,-53,48,-31
425559,-100781,-5468,-1562,2061,-53,48,-31
425561,-100781,-5468,-1562,2051,-54,48,-31
425563,-100781,-5468,-1562,2057,-54,48,-31
425565,-101562,-5468,-1562,2057,-54,48,-31
425567,-101562,-5468,-1562,2054,-54,48,-31
425569,-101562,-5468,-1562,2043,-54,48,-31
425571,-101562,-5468,-1562,2046,-54,47,-31
425573,-101562,-5468,-1562,2061,-55,47,-31
425575,-100781,-4687,-2343,2051,-55,47,-31
425577,-100781,-4687,-2343,2046,-55,47,-31
425579,-100781,-4687,-2343,2057,-55,47,-31
425581,-100781,-4687,-2343,2041,-55,47,-31
425583,-100781,-4687,-2343,2048,-55,46,-31
425585,-101562,-3125,-781,2046,-55,46,-31
425587,-101562,-3125,-781,2049,-55,46,-31
425589,-101562,-3125,-781,2058,-55,46,-31
425591,-101562,-3125,-781,2053,-55,46,-31
425593,-101562,-3125,-781,2046,-55,46,-31
425595,-100781,-3906,-781,2054,-55,46,-31
425638,-101562,-5468,-781,2067,-57,44,-31
425640,-101562,-5468,-781,2059,-57,44,-31
425641,-101562,-5468,-781,2061,-57,44,-31
