timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
26280,-103125,7031,-2343,2031,-74,28,-24
26283,-103125,7031,-2343,2040,-74,28,-24
26285,-103125,7031,-2343,2041,-74,29,-24
26287,-103125,7812,-781,2046,-75,28,-23
26288,-103125,7812,-781,2036,-75,28,-24
26290,-103125,7812,-781,2041,-75,28,-24
26292,-103125,7812,-781,2037,-75,28,-24
26294,-103125,7812,-781,2041,-75,28,-24
26296,-103125,7812,-781,2042,-75,28,-24
26298,-102343,7031,-2343,2046,-75,28,-24
26300,-102343,7031,-2343,2042,-75,28,-24
26302,-102343,7031,-2343,2038,-75,28,-24
26304,-102343,7031,-2343,2035,-75,28,-24
26306,-102343,7031,-2343,2043,-75,28,-24
26308,-102343,7031,-2343,2051,-76,28,-24
26310,-102343,7031,-2343,2031,-76,28,-24
26312,-102343,7031,-2343,2038,-76,28,-24
26314,-102343,7031,-2343,2041,-76,28,-24
26316,-102343,7031,-2343,2040,-76,28,-24
26318,-103125,6250,-2343,2041,-77,29,-24
26320,-103125,6250,-2343,2031,-77,29,-24
26322,-103125,6250,-2343,2045,-77,28,-24
26324,-103125,6250,-2343,2036,-77,28,-24
26326,-103125,6250,-2343,2038,-77,28,-24
26328,-102343,5468,-2343,2046,-77,28,-24
26330,-102343,5468,-2343,2049,-78,28,-24
26332,-102343,5468,-2343,2038,-78,29,-24
26335,-102343,5468,-2343,2043,-78,29,-24
26336,-102343,5468,-2343,2043,-78,29,-24
26338,-102343,6250,-1562,2036,-78,29,-24
26340,-102343,6250,-1562,2052,-78,29,-24
26342,-102343,6250,-1562,2036,-78,29,-24
26344,-102343,6250,-1562,2041,-79,29,-24
26346,-102343,6250,-1562,2043,-79,30,-24
26348,-102343,5468,-1562,2040,-79,30,-24
26350,-102343,5468,-1562,2047,-79,30,-24
26352,-102343,5468,-1562,2037,-79,30,-24
26354,-102343,5468,-1562,2042,-79,30,-24
26356,-102343,5468,-1562,2049,-79,30,-24
26358,-102343,6250,-2343,2047,-79,31,-24
26360,-102343,6250,-2343,2042,-79,31,-24
26362,-102343,6250,-2343,2036,-80,31,-24
26364,-102343,6250,-2343,2036,-80,31,-24
26366,-102343,6250,-2343,2040,-80,31,-24
26368,-103125,5468,-1562,2040,-80,31,-24
26370,-103125,5468,-1562,2041,-80,31,-25
26372,-103125,5468,-1562,2040,-80,32,-24
26374,-103125,5468,-1562,2041,-80,32,-24
26376,-103125,5468,-1562,2042,-81,32,-25
26378,-103125,6250,-781,2043,-81,32,-25
26380,-103125,6250,-781,2042,-81,32,-25
26382,-103125,6250,-781,2033,-81,32,-25
26384,-103125,6250,-781,2046,-82,32,-25
26386,-103125,6250,-781,2033,-82,32,-25
26388,-103125,6250,-1562,2046,-82,32,-25
26390,-103125,6250,-1562,2043,-82,33,-25
26392,-103125,6250,-1562,2040,-83,33,-25
26394,-103125,6250,-1562,2038,-83,33,-25
26397,-103125,6250,-1562,2046,-83,33,-25
26398,-102343,6250,-781,2049,-83,33,-25
26400,-102343,6250,-781,2048,-83,33,-25
26402,-102343,6250,-781,2047,-83,33,-25
26404,-102343,6250,-781,2037,-83,33,-25
26406,-102343,6250,-781,2040,-83,33,-25
26408,-102343,5468,-1562,2046,-83,33,-25
26410,-102343,5468,-1562,2051,-83,33,-25
26412,-102343,5468,-1562,2043,-83,33,-25
26414,-102343,5468,-1562,2042,-83,33,-25
26416,-102343,5468,-1562,2032,-84,33,-25
26418,-101562,5468,-1562,2040,-84,33,-25
26420,-101562,5468,-1562,2031,-84,33,-25
26422,-101562,5468,-1562,2047,-84,33,-25
26424,-101562,5468,-1562,2042,-84,33,-25
26426,-101562,5468,-1562,2041,-84,33,-26
26428,-101562,6250,-1562,2041,-84,33,-26
