timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
26953,-98437,15625,-3125,2047,-44,44,-17
26956,-98437,17187,-3125,2051,-44,44,-17
26958,-98437,17187,-3125,2042,-44,44,-17
26959,-98437,17187,-3125,2036,-45,44,-17
26961,-98437,17187,-3125,2036,-45,43,-17
26963,-98437,17187,-3125,2046,-45,43,-17
26965,-98437,17187,-3125,2046,-45,43,-17
26967,-98437,17187,-3125,2046,-45,43,-17
26969,-98437,17187,-3125,2037,-45,43,-17
26971,-98437,17187,-3125,2041,-45,43,-17
26973,-98437,17187,-3125,2042,-45,43,-17
26975,-98437,17187,-3125,2045,-45,43,-17
26977,-100000,15625,-3125,2040,-45,43,-17
26979,-100000,15625,-3125,2032,-45,42,-17
26981,-100000,15625,-3125,2051,-45,42,-17
26983,-100000,15625,-3125,2053,-45,42,-17
26985,-100000,15625,-3125,2043,-45,42,-17
26987,-98437,14843,-2343,2031,-45,42,-17
26989,-98437,14843,-2343,2043,-45,42,-16
26991,-98437,14843,-2343,2043,-45,42,-16
26993,-98437,14843,-2343,2046,-45,42,-16
26995,-98437,14843,-2343,2046,-45,42,-16
26997,-99218,16406,-3125,2036,-45,42,-16
26999,-99218,16406,-3125,2038,-45,42,-16
27001,-99218,16406,-3125,2046,-45,42,-16
27003,-99218,16406,-3125,2048,-45,42,-16
27005,-99218,16406,-3125,2046,-45,42,-16
27007,-100000,17187,-781,2033,-45,42,-16
27009,-100000,17187,-781,2035,-45,41,-16
27011,-100000,17187,-781,2038,-45,41,-16
27013,-100000,17187,-781,2041,-45,41,-16
27015,-100000,17187,-781,2041,-45,41,-16
27017,-99218,16406,-2343,2023,-45,41,-16
27019,-99218,16406,-2343,2031,-46,41,-16
27021,-99218,16406,-2343,2049,-46,41,-16
27023,-99218,16406,-2343,2041,-46,41,-16
27025,-99218,16406,-2343,2042,-46,41,-17
27027,-98437,16406,-2343,2046,-46,41,-17
27029,-98437,16406,-2343,2033,-46,41,-17
27031,-98437,16406,-2343,2048,-46,41,-17
27033,-98437,16406,-2343,2040,-46,40,-17
27035,-98437,16406,-2343,2043,-46,40,-17
27037,-99218,17187,-2343,2036,-46,40,-17
27039,-99218,17187,-2343,2047,-46,40,-17
27041,-99218,17187,-2343,2035,-45,40,-17
27043,-99218,17187,-2343,2049,-46,40,-17
27045,-99218,17187,-2343,2041,-46,40,-17
27047,-100000,17187,-2343,2041,-46,40,-17
27049,-100000,17187,-2343,2047,-46,40,-17
27051,-100000,17187,-2343,2040,-46,40,-17
27053,-100000,17187,-2343,2051,-46,40,-17
27055,-100000,17187,-2343,2035,-46,40,-17
27057,-100000,16406,-2343,2041,-46,40,-17
27059,-100000,16406,-2343,2038,-47,40,-17
27061,-100000,16406,-2343,2041,-46,40,-17
27063,-100000,16406,-2343,2045,-47,40,-17
27065,-100000,16406,-2343,2043,-47,40,-17
27067,-100000,16406,-3125,2038,-47,40,-17
27069,-100000,16406,-3125,2036,-47,40,-17
27071,-100000,16406,-3125,2042,-47,39,-17
27073,-100000,16406,-3125,2040,-47,39,-17
27075,-100000,16406,-3125,2040,-47,39,-17
27077,-100000,17968,-3125,2043,-47,39,-17
