timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
0.0,-93103.23076923077,-7000.942307692308,3785.826923076923,2062.826923076923,-33.82692307692308,28.365384615384613,-14.403846153846153
2.0,-93508.92307692308,-6910.7692307692305,3425.3076923076924,2062.3076923076924,-33.30769230769231,29.46153846153846,-15.615384615384615
4.0,-93779.38461538461,-6850.653846153846,3184.9615384615386,2061.9615384615386,-32.96153846153846,30.192307692307693,-16.423076923076923
6.0,-94049.84615384616,-6790.538461538462,2944.6153846153848,2061.6153846153848,-32.61538461538461,30.923076923076923,-17.23076923076923
8.0,-94320.30769230769,-6730.423076923077,2704.2692307692305,2061.269230769231,-32.26923076923077,31.653846153846153,-18.03846153846154
10.0,-94590.76923076923,-6670.307692307692,2463.923076923077,2060.923076923077,-31.923076923076923,32.38461538461539,-18.846153846153847
12.0,-94861.23076923077,-6610.192307692308,2223.576923076923,2060.576923076923,-31.576923076923077,33.11538461538461,-19.653846153846153
14.0,-95131.69230769231,-6550.076923076923,1983.2307692307693,2060.230769230769,-31.23076923076923,33.84615384615385,-20.46153846153846
16.0,-95402.15384615384,-6489.961538461538,1742.8846153846152,2059.8846153846152,-30.884615384615383,34.57692307692308,-21.26923076923077
18.0,-95672.61538461539,-6429.846153846154,1502.5384615384614,2059.5384615384614,-30.53846153846154,35.30769230769231,-22.076923076923077
20.0,-95943.07692307692,-6369.7307692307695,1262.1923076923076,2059.1923076923076,-30.192307692307693,36.03846153846154,-22.884615384615387
22.0,-96213.53846153847,-6309.615384615385,1021.8461538461538,2058.846153846154,-29.846153846153847,36.76923076923077,-23.692307692307693
24.0,-96484.0,-6249.5,781.5,2058.5,-29.5,37.5,-24.5
26.0,-96754.46153846153,-6189.384615384615,541.1538461538462,2058.153846153846,-29.153846153846153,38.230769230769226,-25.307692307692307
28.0,-97024.92307692308,-6129.2692307692305,300.8076923076924,2057.8076923076924,-28.807692307692307,38.96153846153846,-26.115384615384613
30.0,-97295.38461538461,-6069.153846153846,60.46153846153857,2057.4615384615386,-28.46153846153846,39.69230769230769,-26.923076923076923
32.0,-97565.84615384616,-6009.038461538462,-179.88461538461524,2057.1153846153848,-28.115384615384617,40.42307692307692,-27.730769230769234
34.0,-97836.30769230769,-5948.923076923077,-420.2307692307695,2056.769230769231,-27.76923076923077,41.15384615384615,-28.53846153846154
36.0,-98106.76923076923,-5888.807692307692,-660.5769230769229,2056.423076923077,-27.423076923076923,41.88461538461539,-29.346153846153847
38.0,-98377.23076923077,-5828.692307692308,-900.9230769230771,2056.076923076923,-27.076923076923077,42.61538461538461,-30.153846153846153
40.0,-98647.69230769231,-5768.576923076923,-1141.2692307692305,2055.730769230769,-26.73076923076923,43.34615384615385,-30.961538461538463
42.0,-98918.15384615384,-5708.461538461539,-1381.6153846153848,2055.3846153846152,-26.384615384615387,44.07692307692308,-31.76923076923077
44.0,-99188.61538461539,-5648.346153846154,-1621.961538461538,2055.0384615384614,-26.03846153846154,44.80769230769231,-32.57692307692308
46.0,-99459.07692307692,-5588.2307692307695,-1862.3076923076924,2054.6923076923076,-25.692307692307693,45.53846153846153,-33.38461538461539
48.0,-99729.53846153847,-5528.115384615385,-2102.6538461538457,2054.346153846154,-25.346153846153847,46.26923076923077,-34.19230769230769
50.0,-100015.01923076923,-5452.9807692307695,-2358.0384615384614,2054.0,-25.057692307692307,47.03846153846154,-35.019230769230774
52.0,-100060.07692307692,-5407.923076923077,-2403.153846153846,2054.0,-25.23076923076923,47.15384615384615,-35.07692307692308
54.0,-100090.11538461539,-5377.884615384615,-2433.230769230769,2054.0,-25.346153846153847,47.23076923076923,-35.11538461538461
56.0,-100120.15384615384,-5347.846153846154,-2463.3076923076924,2054.0,-25.46153846153846,47.30769230769231,-35.15384615384615
58.0,-100150.19230769231,-5317.807692307692,-2493.3846153846152,2054.0,-25.576923076923077,47.38461538461539,-35.19230769230769
60.0,-100180.23076923077,-5287.7692307692305,-2523.4615384615386,2054.0,-25.692307692307693,47.46153846153846,-35.23076923076923
62.0,-100210.26923076923,-5257.7307692307695,-2553.5384615384614,2054.0,-25.807692307692307,47.53846153846154,-35.26923076923077
64.0,-100240.30769230769,-5227.692307692308,-2583.6153846153848,2054.0,-25.923076923076923,47.61538461538461,-35.30769230769231
66.0,-100270.34615384616,-5197.653846153846,-2613.6923076923076,2054.0,-26.03846153846154,47.69230769230769,-35.34615384615385
68.0,-100300.38461538461,-5167.615384615385,-2643.769230769231,2054.0,-26.153846153846153,47.76923076923077,-35.38461538461539
70.0,-100330.42307692308,-5137.576923076923,-2673.846153846154,2054.0,-26.26923076923077,47.84615384615385,-35.42307692307692
72.0,-100360.46153846153,-5107.538461538462,-2703.923076923077,2054.0,-26.384615384615383,47.92307692307692,-35.46153846153846
74.0,-100390.5,-5077.5,-2734.0,2054.0,-26.5,48.0,-35.5
76.0,-100420.53846153847,-5047.461538461538,-2764.076923076923,2054.0,-26.615384615384617,48.07692307692308,-35.53846153846154
78.0,-100450.57692307692,-5017.423076923077,-2794.153846153846,2054.0,-26.73076923076923,48.15384615384615,-35.57692307692308
80.0,-100480.61538461539,-4987.384615384615,-2824.230769230769,2054.0,-26.846153846153847,48.23076923076923,-35.61538461538461
82.0,-100510.65384615384,-4957.346153846154,-2854.3076923076924,2054.0,-26.96153846153846,48.30769230769231,-35.65384615384615
84.0,-100540.69230769231,-4927.307692307692,-2884.3846153846152,2054.0,-27.076923076923077,48.38461538461539,-35.69230769230769
86.0,-100570.73076923077,-4897.2692307692305,-2914.4615384615386,2054.0,-27.192307692307693,48.46153846153846,-35.73076923076923
88.0,-100600.76923076923,-4867.2307692307695,-2944.5384615384614,2054.0,-27.307692307692307,48.53846153846154,-35.76923076923077
90.0,-100630.80769230769,-4837.192307692308,-2974.6153846153848,2054.0,-27.423076923076923,48.61538461538461,-35.80769230769231
92.0,-100660.84615384616,-4807.153846153846,-3004.6923076923076,2054.0,-27.53846153846154,48.69230769230769,-35.84615384615385
94.0,-100690.88461538461,-4777.115384615385,-3034.7692307692305,2054.0,-27.653846153846153,48.76923076923077,-35.88461538461539
96.0,-100720.92307692308,-4747.076923076923,-3064.846153846154,2054.0,-27.76923076923077,48.84615384615385,-35.92307692307692
98.0,-100750.96153846153,-4717.038461538462,-3094.923076923077,2054.0,-27.884615384615383,48.92307692307692,-35.96153846153846
100.0,-100796.01923076923,-4702.0192307692305,-3125.0,2053.9807692307695,-28.057692307692307,48.980769230769226,-36.0
102.0,-100841.07692307692,-4747.076923076923,-3125.0,2053.923076923077,-28.23076923076923,48.92307692307692,-36.0
104.0,-100871.11538461539,-4777.115384615385,-3125.0,2053.8846153846152,-28.346153846153847,48.88461538461539,-36.0
106.0,-100901.15384615384,-4807.153846153846,-3125.0,2053.846153846154,-28.46153846153846,48.84615384615385,-36.0
108.0,-100931.19230769231,-4837.192307692308,-3125.0,2053.8076923076924,-28.576923076923077,48.80769230769231,-36.0
110.0,-100961.23076923077,-4867.2307692307695,-3125.0,2053.769230769231,-28.692307692307693,48.76923076923077,-36.0
112.0,-100991.26923076923,-4897.2692307692305,-3125.0,2053.730769230769,-28.807692307692307,48.73076923076923,-36.0
114.0,-101021.30769230769,-4927.307692307692,-3125.0,2053.6923076923076,-28.923076923076923,48.69230769230769,-36.0
116.0,-101051.34615384616,-4957.346153846154,-3125.0,2053.653846153846,-29.03846153846154,48.65384615384615,-36.0
118.0,-101081.38461538461,-4987.384615384615,-3125.0,2053.6153846153848,-29.153846153846153,48.61538461538461,-36.0
120.0,-101111.42307692308,-5017.423076923077,-3125.0,2053.576923076923,-29.26923076923077,48.57692307692308,-36.0
122.0,-101141.46153846153,-5047.461538461538,-3125.0,2053.5384615384614,-29.384615384615383,48.53846153846154,-36.0
124.0,-101171.5,-5077.5,-3125.0,2053.5,-29.5,48.5,-36.0
