timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
455106,-100781,-7812,-5468,2059,-13,36,-23
514385,-101562,781,-1562,2041,-48,29,-30
514387,-101562,781,-1562,2056,-48,29,-30
514389,-101562,781,-1562,2048,-49,29,-30
514391,-100781,781,-2343,2042,-49,29,-30
514393,-100781,781,-2343,2051,-49,29,-30
514395,-100781,781,-2343,2046,-49,29,-29
514397,-100781,781,-2343,2049,-49,29,-29
514399,-100781,781,-2343,2047,-49,29,-29
514401,-100781,781,-1562,2046,-49,29,-29
514403,-100781,781,-1562,2052,-49,29,-29
514405,-100781,781,-1562,2049,-49,29,-29
514407,-100781,781,-1562,2047,-49,29,-29
514409,-100781,781,-1562,2051,-50,29,-29
514411,-100000,781,-2343,2051,-50,29,-29
514413,-100000,781,-2343,2042,-50,29,-28
514415,-100000,781,-2343,2048,-50,29,-29
514417,-100000,781,-2343,2043,-50,29,-28
514419,-100000,781,-2343,2051,-50,29,-28
514421,-101562,781,-781,2040,-50,29,-28
514423,-101562,781,-781,2048,-51,28,-28
514425,-101562,781,-781,2042,-51,28,-28
514427,-101562,781,-781,2045,-51,28,-28
514429,-101562,781,-781,2051,-51,28,-28
514431,-102343,1562,-3125,2057,-51,28,-28
514433,-102343,1562,-3125,2042,-51,28,-28
514435,-102343,1562,-3125,2043,-51,28,-28
514437,-102343,1562,-3125,2046,-51,29,-28
514439,-102343,1562,-3125,2053,-52,29,-28
514441,-101562,0,-781,2052,-52,29,-28
514443,-101562,0,-781,2051,-52,29,-28
514445,-101562,0,-781,2042,-52,28,-28
514448,-101562,0,-781,2046,-52,28,-28
514449,-101562,0,-781,2049,-52,28,-28
514451,-100781,781,-2343,2049,-52,28,-28
514453,-100781,781,-2343,2047,-52,28,-28
514455,-100781,781,-2343,2046,-52,28,-28
514457,-100781,781,-2343,2069,-53,28,-28
514459,-100781,781,-2343,2051,-53,28,-27
514461,-100781,0,-781,2042,-53,28,-27
514463,-100781,0,-781,2053,-53,27,-27
514465,-100781,0,-781,2056,-53,27,-27
514467,-100781,0,-781,2047,-53,27,-27
514469,-100781,0,-781,2049,-54,27,-27
514471,-100781,0,-1562,2051,-54,27,-28
514473,-100781,0,-1562,2051,-54,27,-28
514475,-100781,0,-1562,2047,-54,27,-28
