timestamp,accX,accY,accZ,pressure,gyroX,gyroY,gyroZ
22730,-98437,13281,0,2031,-53,19,-43
22733,-98437,13281,0,2043,-53,19,-43
22735,-98437,13281,-781,2032,-53,19,-43
22737,-98437,13281,-781,2045,-53,19,-43
22738,-98437,13281,-781,2048,-53,19,-43
22740,-98437,13281,-781,2043,-53,19,-43
22742,-98437,13281,-781,2049,-52,19,-43
22744,-98437,13281,-781,2037,-52,19,-43
22746,-98437,12500,-781,2046,-52,19,-43
22748,-98437,12500,-781,2047,-52,19,-43
22750,-98437,12500,-781,2046,-52,19,-43
22752,-98437,12500,-781,2038,-52,19,-43
22754,-98437,12500,-781,2045,-52,19,-43
22756,-99218,11718,-781,2041,-52,19,-43
22758,-99218,11718,-781,2038,-52,19,-43
22760,-99218,11718,-781,2051,-52,19,-43
22762,-99218,11718,-781,2049,-52,19,-43
22764,-99218,11718,-781,2035,-51,19,-43
22766,-99218,12500,-781,2036,-51,19,-43
22768,-99218,12500,-781,2051,-51,19,-43
22770,-99218,12500,-781,2053,-52,19,-43
22772,-99218,12500,-781,2036,-51,19,-43
22774,-99218,12500,-781,2035,-51,19,-43
22776,-98437,12500,-781,2042,-51,19,-43
22778,-98437,12500,-781,2040,-51,19,-43
22780,-98437,12500,-781,2046,-51,19,-43
22782,-98437,12500,-781,2046,-51,19,-43
22784,-98437,12500,-781,2043,-51,19,-43
22786,-97656,13281,-781,2049,-51,19,-43
22788,-97656,13281,-781,2049,-50,19,-43
22790,-97656,13281,-781,2043,-50,19,-43
22792,-97656,13281,-781,2045,-50,18,-43
22794,-97656,13281,-781,2040,-50,18,-43
22796,-98437,14062,0,2048,-50,18,-43
22798,-98437,14062,0,2053,-50,18,-43
22800,-98437,14062,0,2051,-50,18,-43
22802,-98437,14062,0,2043,-50,18,-43
22804,-98437,14062,0,2053,-49,18,-43
22806,-98437,13281,0,2046,-49,18,-43
22808,-98437,13281,0,2040,-49,18,-43
22810,-98437,13281,0,2053,-49,18,-43
22812,-98437,13281,0,2041,-49,18,-43
22814,-98437,13281,0,2035,-49,18,-43
22816,-98437,12500,781,2038,-49,18,-43
22818,-98437,12500,781,2051,-49,18,-43
22820,-98437,12500,781,2038,-48,18,-43
22822,-98437,12500,781,2037,-48,18,-43
22824,-98437,12500,781,2032,-48,18,-43
22826,-98437,13281,0,2043,-48,18,-43
22828,-98437,13281,0,2041,-48,18,-43
22830,-98437,13281,0,2041,-48,18,-43
22832,-98437,13281,0,2033,-48,18,-43
22834,-98437,13281,0,2037,-48,19,-43
22836,-98437,12500,0,2041,-48,19,-43
22838,-98437,12500,0,2032,-48,19,-43
22840,-98437,12500,0,2038,-48,19,-43
22842,-98437,12500,0,2045,-47,19,-43
22844,-98437,12500,0,2040,-47,19,-43
22846,-98437,13281,0,2035,-47,19,-43
22848,-98437,13281,0,2033,-47,19,-43
22850,-98437,13281,0,2043,-47,19,-43
22852,-98437,13281,0,2049,-47,19,-43
22854,-98437,13281,0,2043,-47,19,-43
22856,-97656,13281,781,2046,-47,19,-43
22858,-97656,13281,781,2031,-47,19,-43
22860,-97656,13281,781,2038,-46,19,-43
